word,part_of_speech,meaning,example,example_meaning,definition,ID,pronunciation
international,adjective,quốc tế,"In the international arena, the team performed well at the AFC Champions League in 2001.","Ở đấu trường quốc tế , đội có thành tích thi đấu tốt tại AFC Champions League vào năm 2001.",Of or having to do with more than one nation.,122,/ɪntəˈnæʃənəl/
itinerary,adjective,lịch trình,"Sadly, Agent Phillips, your home is not on the itinerary .","Tiếc thay, đặc vụ Phillips, địa chỉ nhà anh không có trong lịch trình .",A route or proposed route of a journey.,123,/aɪˈtɪnərəri/
journey,verb,chặng đường đi,"The pain all through my leg was excruciating, and for that entire journey , I assumed that I was dying.","Cơn đau lan khắp chân tôi thật dữ dội và trong suốt chặng đường đi , tôi nghĩ rằng tôi sắp chết.","A set amount of travelling, seen as a single unit; a discrete trip, a voyage.",124,/ˈdʒʌni/
local,adjective,địa phương,She teaches at our local school.,Cô ta dạy học ở trường địa phương chúng tôi.,"(mathematics, not comparable, of a condition or state) Applying to each point in a space rather than the space as a whole.",125,/ˈlʌʊkəl/
luggage,noun,hành lý,"Well, it looks like before you give me my luggage ,","Vâng, nó trông giống như trước khi bạn cho tôi hành lý của tôi,",the bags and other containers that hold a traveller's belongings,126,/ˈlʌgɪdʒ/
overseas,adverb,hải ngoại,"No, and not one of our overseas commanders.","Không, và cũng không có một tư lệnh hải ngoại nào.",(chiefly UK) abroad.,127,/əʊvəˈsiz/
passport,noun,hộ chiếu,You absolutely need a passport to travel to a foreign country.,Bạn bắt buộc phải có hộ chiếu mới được đi nước ngoài.,"An official document normally used for international journeys, which proves the identity and nationality of the person for whom it was issued.",128,/ˈpɑspɔt/
resort,noun,bài,An essay published by the Media Awareness Network entitled “Violence in Media Entertainment” observes: “The notion of violence as a means of problem solving is reinforced by entertainment in which both villains and heroes resort to violence on a continual basis.”,"Một bài tiểu luận của Media Awareness Network có tựa đề “Bạo lực trong chương trình giải trí trên phương tiện truyền thông” nhận xét: “Ý niệm bạo lực là biện pháp để giải quyết vấn đề, được nhấn mạnh trong các chương trình giải trí mà qua đó kẻ côn đồ lẫn anh hùng đều thường xuyên dùng vũ lực”.","A compound of buildings and facilities located in a scenic area, providing lodgings, entertainment, and a relaxing environment to people on vacation.",129,/rɪˈzɔt/
safari,verb,cuộc đi săn,I know that I can arrange a safari for you and your colleagues.,Tôi biết tôi có thể sắp xếp một cuộc đi săn cho các vị.,"A trip into any undeveloped area to see, photograph or hunt wild animals in their own environment.",130,/səˈfɒri/
aviation,noun,hàng không,"I read, studied, and learned everything I could find about aviation .","Tôi đọc, nghiên cứu và học hỏi mọi điều mà tôi có thể tìm được về hàng không .",The art or science of flying.,131,/eɪviˈeɪʃɛn/
collision,noun,sự va chạm,It will calculate a discreet arrival location and avoid any materialization collisions .,Tôi tính toán địa điểm đến cẩn thận nhầm tránh bất cứ sự va chạm vật chất nào.,An instance of colliding.,132,/kəˈlɪʒən/
commuter,noun,"người di trú, khách du lịch",Commutes and Conversations,Đi Lại và Trò Chuyện,"A person who regularly travels from one place to another, typically to work.",133,/kəˈmjutə/
congestion,noun,nghẹt,"After one month your coughing, sinus congestion , fatigue, and shortness of breath will begin to decrease.","Sau một tháng, bạn sẽ bớt ho, nghẹt mũi, mệt mỏi và thở hổn hển.",The act of gathering into a heap or mass; accumulation.,134,/kənˈdʒɛstʃɪn/
cruise,verb,chờn vờn,I wanna take you on Rosie O'Donnell's cruise .,Tao sẽ đưa mày dến nhà mụbéo rắc rối Rosie O'Donnell,"A sea voyage, especially one taken for pleasure.",135,/kruz/
direction,noun,hướng,We began to sail in the direction of the port.,Chúng tôi bắt đầu lái thuyền về hướng cảng.,The action of directing; pointing (something) towards.,136,/daɪˈrɛkʃən/
fare,noun,tiền xe,Since then I've been working to get enough money for stage fare .,Từ đó tới nay tôi làm việc để kiếm đủ tiền xe .,Money paid for a transport ticket.,137,/fɛ/
ferry,verb,chở,It could have been stolen to drive the bomb to the ferry .,Có thể là đã bị đánh cắp dùng để chở bom lên phà.,"A ship used to transport people, smaller vehicles and goods from one port to another, usually on a regular schedule",138,/ˈfɛəri/
locomotive,adjective,đầu máy xe lửa,He fell between the first car and the locomotive .,nó rơi giữa toa thứ và đầu máy xe lửa .,(rare) A traction engine,139,/ləʊkəˈmʌʊtɪv/
navigate,verb,lái,I saw the concept first in the DARPA Grand Challenges where the U. S. government issued a prize to build a self- driving car that could navigate a desert.,Lần đầu tôi biết tới khái niệm này là ở cuộc thi Thử Thách DARPA. Ở cuộc thi này chính phủ Mỹ treo giải thưởng cho người nào dựng được một chiếc xe có thể tự lái qua sa mạc.,"(transitive) To plan, control and record the position and course of a vehicle, ship, aircraft etc on a journey; to follow a planned course.",140,/ˈnævɪgeɪt/
pedestrian,adjective,khách bộ hành,What have congregations with areas of high pedestrian traffic been encouraged to do?,Những hội thánh có khu vực đông khách bộ hành được khuyến khích làm gì?,(not comparable) Of or intended for those who are walking.,141,/pəˈdɛstriən/
architecture,noun,kiến trúc,Valencia is famous for its unusual architecture .,Valencia nỗi tiếng về những công trình kiến trúc khác thường của nó.,The art and science of designing buildings and other structures.,142,/ˈɑkɪtɛktʃə/
compound,adjective,phức,"Some workers had travelled hundreds of miles from remote desert compounds in southern Libya , some had just come from the city .","Một số nhân viên đã đi hàng trăm dặm từ các phức hợp xa xôi trong sa mạc ở nam Libya , một số vừa từ thành phố đến .","an enclosure within which workers, prisoners, or soldiers are confined",143,/ˈkɒmpaʊnd/
construction,noun,công trình xây dựng,Palmyra was a center for some of that construction .,Palmyra là trọng tâm của một số công trình xây dựng đó.,The process of constructing.,144,/kənˈstrʌkʃən/
development,noun,sự phát triển,And this development in childhood reflects the development of our species.,Và sự phát triển này ở trẻ em phản ánh sự phát triển của giống loài chúng ta.,"(uncountable) The process of developing; growth, directed change",145,/dɪˈveləpmənt/
engineering,noun,công nghệ,Says they're one of the top engineering schools in the country.,Nghe nói đây là một trong những trường công nghệ hàng đầu nước.,Present participle of engineer.,146,/ɛndʒɪˈnɪərɪŋ/
exterior,adjective,bên ngoài,The roof is supported by creating a difference between the exterior and interior air pressure.,Mái được hỗ trợ bằng cách tạo chênh lệch áp suất giữa bên trong và bên ngoài .,relating to the outside parts or surface of something,147,/ɛkˈstɪriə/
facility,noun,cơ sở,What I get is that it's time to see this facility .,Tôi hiểu được đây là thời điểm để trông thấy cơ sở này.,Ease in learning or in doing something; proficiency,148,/fəˈsɪlɪti/
infrastructure,noun,cơ sở hạ tầng,The whole infrastructure falls apart.,Cơ sở hạ tầng sụp đổ.,An underlying base or foundation especially for an organization or system,149,/ˈɪnfrəstrəktʃə/
landmark,verb,bước ngoặc,The Landmark Work of Budny,Công việc có tính chất bước ngoặc của Budny,"a notable building or place with historical, cultural, or geographical significance",150,/ˈlændmɑk/
landscape,noun,phong cảnh,So we would take the landscape and we would build up the topography.,Chúng tôi bỏ đi phong cảnh và dựng lại địa hình.,"A portion of land or territory which the eye can comprehend in a single view, including all the objects it contains.",151,/ˈlændskeɪp/
metropolis,noun,thủ đô,Now Tokyo has changed into a metropolis .,Giờ đây Đông kinh đã thay đổi và trở thành thủ đô .,"(history) The mother (founding) polis (city state) of a colony, especially in the Ancient Greek/Hellenistic world.",152,/məˈtrɒpəlɪs/
monument,noun,đài tưởng niệm,The monument's design and the statue are works of sculptor Thomas Marsh.,Mẫu thiết kế đài tưởng niệm và bức tượng là công trình của điêu khắc gia Thomas Marsh.,"A structure built for commemorative or symbolic reasons, or as a memorial; a commemoration.",153,/ˈmɒnjumənt/
neighborhood,noun,khu phố,are there any families in your neighborhood that You don't get along with?,Có gia đình nào trong khu phố anh mà anh không thân thiện không?,"(obsolete) The quality of being a neighbor, living nearby, next to each-other",154,/ˈneɪbəhʊd/
outskirts,noun,ngoại ô,All (3) confirmed collections of B. modicum come from the outskirts of the town of Buea.,Cả (3) mẫu vật được xác định của B. modicum đều đến từ ngoại ô thị trấn Buea.,Plural form of outskirt.; the edges or areas around a city or town.,155,/ˈaʊtskəts/
pagoda,noun,chùa,"Other attractions include the Cascatinha Waterfall; the Mayrink Chapel, with murals painted by Cândido Portinari; the light pagoda -style gazebo at Vista Chinesa outlook; and the giant granite picnic table called the Mesa do Imperador.","Các điểm tham quan khác bao gồm các thác nước Cascatinha; Chapel Mayrink với những bức tranh tường vẽ bởi Cândido Portinari, chùa Vista Chinesa; và khối đá granite khổng lồ Mesa do Imperador.","An Asian religious building, especially a multistory Buddhist tower, erected as a shrine or temple.",156,/pəˈgʌʊtə/
pavilion,verb,rạp,"So I was chosen to build the pavilion out of paper tubes,",Vì vậy tôi đã được chọn để dựng một cái rạp từ những ống giấy,an ornate tent,157,/pəˈvɪljɪn/
residence,noun,dinh thự,Our Ambo's residence in this half of the villa is the safe haven.,Một nửa dinh thự này là nhà an toàn.,The place where one lives.,158,/ˈrɛzɪdɪns/
scenery,noun,phong cảnh,Mine had nothing but scenery on it.,Cái của tôi không có gì ngoài phong cảnh .,"View, natural features, landscape.",159,/ˈsinəri/
skyscraper,noun,nhà chọc trời,Currently Burj Khalifa is the tallest skyscraper in the world.,Burj Khalifa hiện đang là tòa nhà chọc trời cao nhất thế giới.,(archaic) A small sail atop a mast of a ship.,160,/ˈskaɪskreɪpə/
accessible,adjective,có thể tới được,"If we can get in those pipes, we can access the reactor there","Nếu chúng ta vào được mấy đường ống này, chúng ta có thể tới được điểm đặt kíp nổ",Easily understood.,161,/ækˈsɛsɪbəl/
alluring,adjective,quyến rũ,The Sirens with their deadly yet irresistible allure .,Sự quyến rũ không thể chống lại được của các mỹ nhân.,Present participle of allure.,162,/əˈljʊəriŋ/
coastal,adjective,miền ven biển,"While the coastal towns were readily accessible by train and boat, the rural areas could best be reached by car.","Trong khi có thể đến các thị trấn miền ven biển một cách dễ dàng bằng xe lửa và tàu bè, thì xe hơi lại là phương tiện tốt nhất để đi tới miền quê.","relating to the coast; on or near the coast, as a coastal town, a coastal breeze",163,/ˈkʌʊstəl/
